"filename", "language", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"e:\dev\ljs_p1\examples_async\005.js", "JavaScript", 0, 19, 0, 3, 5, 27
"e:\dev\ljs_p1\examples_async\006.js", "JavaScript", 0, 23, 0, 1, 5, 29
"e:\dev\ljs_p1\examples_async\007.js", "JavaScript", 0, 26, 0, 1, 5, 32
"e:\dev\ljs_p1\examples_promise\001.js", "JavaScript", 0, 17, 0, 1, 5, 23
"e:\dev\ljs_p1\examples_promise\002.js", "JavaScript", 0, 22, 0, 1, 4, 27
"e:\dev\ljs_p1\examples_thenable\001.js", "JavaScript", 0, 42, 0, 1, 8, 51
"e:\dev\ljs_p1\examples_thenable\002.js", "JavaScript", 0, 29, 0, 1, 5, 35
"e:\dev\ljs_p1\examples_thenable\003.js", "JavaScript", 0, 31, 0, 1, 5, 37
"e:\dev\ljs_p1\index.html", "HTML", 0, 0, 14, 3, 5, 22
"e:\dev\ljs_p1\main.js", "JavaScript", 0, 1, 0, 0, 1, 2
"e:\dev\ljs_p1\scripts\HelloWorld.js", "JavaScript", 0, 1, 0, 0, 0, 1
"e:\dev\ljs_p1\scripts\module.js", "JavaScript", 0, 1, 0, 0, 0, 1
"e:\dev\ljs_p1\style.css", "CSS", 3, 0, 0, 0, 0, 3
"Total", "-", 3, 1936, 14, 431, 415, 2799
